Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"5,10334886736748E-36","-1,54939116262366E-18","0,0248239436619718",0,0,0,"25,4419917555561","0,150370490434844","-8,31151180314476E-36","-1,89588324363783E-34","0,150370490434844","8,4912872199433E-18","0,290141728163054",0,0,0,0,0,0,package://big_arm_urdf/meshes/base_link.STL,"0,647058823529412","0,619607843137255","0,588235294117647",1,0,0,0,0,0,0,package://big_arm_urdf/meshes/base_link.STL,,Base^Manipulator2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,"-6,72935833564308E-17","5,41722740362335E-16","0,0562858835388927",0,0,0,"1,24036308689963","0,00602313752636761","2,1208125474502E-05","-1,04263858784396E-18","0,00579248437417585","-5,09141599596496E-19","0,0098329939500295",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_1.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_1.STL,,Part1^Manipulator2-2,Origin_joint_base_1,,joint_base_1,continuous,0,0,"0,025",0,0,0,base_link,0,0,1,1000,10,0,"6,183",,,,,,,,
link_2,"0,19","3,7470027081099E-16","-3,12389003553903E-16",0,0,0,"1,38058358126134","0,00248849839246422","5,07965658468404E-18","-3,90312782094782E-18","0,0437476242743762","-8,67361737988404E-19","0,0425687229272136",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_2.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_2.STL,,Part2^Manipulator2-3,Origin_joint_12,,joint_12,revolute,0,0,"0,11","-1,5708","-0,95024","-3,0507",link_1,0,0,1,1000,10,0,"6,183",,,,,,,,
link_3,"0,190000000000009","1,0991207943789E-14","2,35922392732846E-16",0,0,0,"0,492773406896242","0,000993126064016739","-1,98629226131133E-19","-1,47383732822248E-18","0,00882828983439309","-3,79470760369927E-19","0,00857639886635598",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_3.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_3.STL,,Part3^Manipulator2-5,Origin_joint_23,,joint_23,revolute,"0,38",0,0,0,0,"-1,207",link_2,0,0,1,1000,10,0,"6,183",,,,,,,,
link_4,"0,188502975963012","-0,0164677703024454","-0,0171883854493124",0,0,0,"1,38058358126134","0,00312638334029432","0,00354785475887284","0,00359649566474575","0,0434376808533928","-0,000323506272525106","0,0422407814003671",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_4.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_4.STL,,Part2^Manipulator2-4,Origin_joint_34,,joint_34,revolute,"0,38",0,0,0,"-0,090932","-0,98436",link_3,0,0,1,1000,10,0,"6,183",,,,,,,,
link_5,"-0,0141429450104605","7,53233908579176E-08","0,00199995138060591",0,0,0,"0,130378439395373","9,85693744749924E-05","-2,23559602004266E-09","-7,5663588800688E-11","0,000116973092049288","5,32702014819344E-11","0,0001866513337855",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_5.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_5.STL,,Part4^Manipulator2-5,Origin_joint_45,,joint_45,revolute,"0,37701","-0,032936","-0,034377","0,062559","-0,066036","2,3822",link_4,0,0,1,1000,10,0,"6,183",,,,,,,,
link_6,"-4,97039481107964E-07","2,63088229068842E-06","0,0786774570131245",0,0,0,"0,665759903912911","0,000952789706275326","-1,38154320697555E-08","-8,31042935225815E-10","0,00095286060074004","4,52211814098408E-09","0,00141997991990691",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_6.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/link_6.STL,,Part5^Manipulator2-1,Origin_joint_56,,joint_56,revolute,"-0,04",0,"0,002","-2,3654","1,5708","0,77614",link_5,0,0,1,1000,10,0,"6,183",,,,,,,,
grip_1,"0,0674233348638277","-0,00149730770397288","0,00988726780355913",0,0,0,"0,11992363568227","2,32996122881845E-05","-3,6096640394024E-12","4,42085269022021E-13","0,000147857015499886","8,71359919641666E-07","0,000142235051121448",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_1.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_1.STL,,Part6^Manipulator2-8,Origin_joint_6_g1,Axis_joint_6_g1,joint_6_g1,revolute,"-0,011072","0,05897","0,091","-1,7211","-0,33932","1,7564",link_6,0,0,1,1000,10,0,"6,183",,,,,,,,
grip_1b,"0,0843265899344989","-0,00212380310637394","0,0099999996377477",0,0,0,"0,141643537240913","2,42692219268835E-05","1,63887843182053E-05","7,78137406188141E-12","0,000336749313354746","-5,98415142376405E-12","0,000330285690314077",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_1b.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_1b.STL,,Part7^Manipulator2-4,Origin_joint_grip_1b,Axis_joint_grip_1b,joint_grip_1b,revolute,"0,11",0,0,"0,011605","0,14985","-1,4932",grip_1,0,0,1,1000,10,0,"6,183",,,,,,,,
grip_2,"0,0659446867940136","-0,0140429541455789","0,0100000004099546",0,0,0,"0,119923642785374","2,87087256812529E-05","2,54007949129357E-05","-6,35189378224036E-13","0,000142579853996741","-2,45328437956385E-12","0,000142103089158568",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_2.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_2.STL,,Part6^Manipulator2-10,Origin_joint_6_g2,Axis_joint_6_g2,joint_6_g2,revolute,"0,05897","0,011072","0,091","-1,5708","-0,19278","0,1856",link_6,0,0,1,1000,10,0,"6,183",,,,,,,,
grip_2b,"0,0843265865207311","-0,00212380179885391","0,00999999957992204",0,0,0,"0,141643614685743","2,42692404977318E-05","1,63887852150154E-05","-1,45187447117269E-13","0,000336749419639376","-4,62085035355829E-12","0,000330285797805327",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_2b.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_2b.STL,,Part7^Manipulator2-1,Origin_joint_grip_2b,Axis_joint_grip_2b,joint_grip_2b,revolute,"0,10759","-0,022911",0,0,0,"-1,5817",grip_2,0,0,1,1000,10,0,"6,183",,,,,,,,
grip_3,"0,0674233349821467","-0,000216683054989369","-0,00999765235365951",0,0,0,"0,119923637058051","2,32996122767126E-05","-3,01255348785664E-12","1,15039704239531E-12","0,0001479862078452","-1,27510854779785E-07","0,000142105857428452",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_3.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_3.STL,,Part6^Manipulator2-9,Origin_joint_6_g3,Axis_joint_6_g3,joint_6_g3,revolute,"0,011072","-0,05897","0,091","-1,5491","-0,33932","-1,3852",link_6,0,0,1,1000,10,0,"6,183",,,,,,,,
grip_3b,"0,0843265835470308","-0,00212380359506137","-0,0100000017555446",0,0,0,"0,141643615845273","2,42692401970422E-05","1,6388779687381E-05","-2,83700056075674E-12","0,000336749373130495","-7,01396464170066E-12","0,000330285749652679",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_3b.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_3b.STL,,Part7^Manipulator2-3,Origin_joint_grip_3b,Axis_joint_grip_3b,joint_grip_3b,revolute,"0,11",0,0,"-0,013124","-0,017244","-0,9202",grip_3,0,0,1,1000,10,0,"6,183",,,,,,,,
grip_4,"0,0674233355383608","-1,42527756957778E-09","0,0100000001980208",0,0,0,"0,119923640551901","2,32996121229523E-05","3,46372397723362E-12","-8,87942195128388E-13","0,000147988969529785","-2,64203844349206E-12","0,000142103091352165",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_4.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_4.STL,,Part6^Manipulator2-7,Origin_joint_6_g4,Axis_joint_6_g4,joint_6_g4,revolute,"-0,05897","-0,011072","0,091","1,5708","-0,4026","-2,956",link_6,0,0,1,1000,10,0,"6,183",,,,,,,,
grip_4b,"0,0843265859870006","-0,0021238019435485","-0,0100000004854647",0,0,0,"0,141643613852148","2,42692402907718E-05","1,63887841722403E-05","-6,86254961946683E-13","0,000336749412376889","-4,57853621959074E-12","0,000330285790627453",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_4b.STL,1,1,1,"0,32",0,0,0,0,0,0,package://big_arm_urdf/meshes/grip_4b.STL,,Part7^Manipulator2-2,Origin_joint_grip_4b,Axis_joint_grip_4b,joint_grip_4b,revolute,"0,11",0,0,"3,1416",0,"1,2805",grip_4,0,0,1,1000,10,0,"6,183",,,,,,,,
